Date,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
20-01-2025,1651.25,1660.949951,1626,1626,8778809
21-01-2025,1642.400024,1661.050049,1633.050049,1658.25,15579072
22-01-2025,1666.050049,1671.900024,1625.449951,1642.400024,15309653
23-01-2025,1664.900024,1687,1651.25,1687,17454579
24-01-2025,1649.800049,1670.300049,1644.5,1660,12118100
27-01-2025,1629.800049,1643.599976,1626,1641.099976,11402083
28-01-2025,1670.400024,1684.300049,1647,1647,15089656
29-01-2025,1677.300049,1681.150024,1668.849976,1675,6309945
30-01-2025,1691.5,1697.900024,1672.550049,1681,12872423
31-01-2025,1698.75,1704.699951,1683.949951,1687.25,7910843
01-02-2025,1690.949951,1713,1676.050049,1697.5,2793764
03-02-2025,1678,1686.800049,1663.449951,1670,10138270
04-02-2025,1720.900024,1725.800049,1680.050049,1688.699951,14308251
05-02-2025,1737.800049,1744.199951,1718.900024,1733,11837753
06-02-2025,1743.849976,1749,1724,1735.5,13380358
07-02-2025,1732.75,1767,1725,1750,11754800
10-02-2025,1715.75,1723.449951,1708.5,1717.300049,8597975
11-02-2025,1701.400024,1711,1688.699951,1703,11362352
12-02-2025,1706.800049,1712,1681.199951,1693,11404785
13-02-2025,1697.699951,1714.25,1693.550049,1699,6301217
14-02-2025,1694.849976,1701.900024,1680,1701.900024,9979946
17-02-2025,1717.349976,1720,1681.25,1685.199951,6469473
18-02-2025,1723.050049,1731.550049,1706.150024,1713.050049,8175455
19-02-2025,1727.199951,1737.900024,1712.449951,1717,5942056
20-02-2025,1687.099976,1714.699951,1685.300049,1711,13195255
21-02-2025,1692.5,1694.949951,1677.25,1680.900024,7840470
24-02-2025,1677.099976,1684.199951,1661.099976,1681.099976,10346823
25-02-2025,1682.349976,1688,1671.099976,1671.099976,12069354
27-02-2025,1700.699951,1710.75,1682.550049,1682.550049,17893400
28-02-2025,1732.400024,1737.25,1685,1685,27258364
03-03-2025,1701.550049,1743.050049,1694.099976,1739.800049,10602682
04-03-2025,1710,1714.300049,1693.25,1698,9960479
05-03-2025,1690,1710.800049,1688.25,1701.949951,10791936
06-03-2025,1691.199951,1699.900024,1672.25,1687,16483044
07-03-2025,1689.25,1701.150024,1677.599976,1682,6686457
10-03-2025,1687.5,1699.900024,1683.050049,1689,7802025
11-03-2025,1685.5,1694,1670.050049,1682.400024,9949215
12-03-2025,1711.150024,1718.5,1691.550049,1691.550049,9392053
13-03-2025,1706.599976,1720.800049,1700.050049,1716.050049,7868132
17-03-2025,1710.400024,1724,1705,1705,9475326
18-03-2025,1710.400024,1710.400024,1710.400024,1710.400024,0
19-03-2025,1744.099976,1751,1732.199951,1735,7610703
20-03-2025,1768.75,1774,1749.300049,1754,8916989
21-03-2025,1770.349976,1774.099976,1755.550049,1755.550049,16754132
24-03-2025,1800,1804.400024,1773.650024,1779,8696868
25-03-2025,1821.449951,1843.699951,1801.5,1804.900024,19550708
26-03-2025,1806.550049,1827.5,1802,1825,12239221
27-03-2025,1825.349976,1841,1798.099976,1800,20829050
28-03-2025,1828.199951,1836,1805.849976,1829,14386824
01-04-2025,1767.849976,1809.900024,1765.349976,1802,14255503
02-04-2025,1796.900024,1799.199951,1770.699951,1770.699951,5786782
03-04-2025,1794.849976,1804,1777,1781.099976,5625019
04-04-2025,1817.300049,1841.949951,1811.099976,1813,16770227
07-04-2025,1757.699951,1779.849976,1738.199951,1762.800049,18997725
08-04-2025,1769.150024,1782,1750.300049,1765,17781936
09-04-2025,1765,1775,1753.5,1765,11227304
11-04-2025,1806.75,1819.400024,1774.75,1774.75,16387883
15-04-2025,1864.900024,1876.800049,1855,1865,24649172
16-04-2025,1878,1883.800049,1860.5,1883.800049,9568410
17-04-2025,1906.699951,1919.699951,1876.699951,1882,17851542
